罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,現金以外の主な被害品
窃盗,部品ねらい,四国中央,三島交番,382132,愛媛県,四国中央市,具定町,2019-09-07,17,駐車（輪）場,その他
窃盗,部品ねらい,四国中央,三島交番,382132,愛媛県,四国中央市,三島中央３丁目,2019-10-19,23,その他,ナンバープレート
窃盗,部品ねらい,新居浜,新居浜駅前交番,382051,愛媛県,新居浜市,八雲町,2019-11-27,10,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,西条,駅前交番,382060,愛媛県,西条市,大町,2018-12-15,16,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,西条,駅前交番,382060,愛媛県,西条市,大町,2019-08-14,14,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,西条西,三芳駐在所,382060,愛媛県,西条市,三芳,2019-07-22,07,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,今治,,382027,愛媛県,今治市,,2019-10-07,12,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,今治,水上交番,382027,愛媛県,今治市,片原町１丁目,2019-10-16,06,駐車（輪）場,その他
窃盗,部品ねらい,今治,水上交番,382027,愛媛県,今治市,片原町１丁目,2019-10-16,06,駐車（輪）場,その他
窃盗,部品ねらい,今治,水上交番,382027,愛媛県,今治市,共栄町３丁目,2019-06-05,17,駐車（輪）場,その他
窃盗,部品ねらい,今治,駅前交番,382027,愛媛県,今治市,泉川町２丁目,2018-01-21,01,駐車（輪）場,その他
窃盗,部品ねらい,今治,旭町交番,382027,愛媛県,今治市,喜田村７丁目,2019-07-18,08,駐車（輪）場,その他
窃盗,部品ねらい,今治,近見駐在所,382027,愛媛県,今治市,小浦町２丁目,2019-02-25,07,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,今治,乃万駐在所,382027,愛媛県,今治市,山路,2019-10-17,10,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,今治,桜井駐在所,382027,愛媛県,今治市,郷桜井２丁目,2019-03-22,16,駐車（輪）場,その他
窃盗,部品ねらい,今治,桜井駐在所,382027,愛媛県,今治市,郷桜井２丁目,2019-09-14,07,駐車（輪）場,その他
窃盗,部品ねらい,今治,大西駐在所,382027,愛媛県,今治市,大西町九王,2019-07-04,11,駐車（輪）場,その他
窃盗,部品ねらい,伯方,弓削駐在所,383562,愛媛県,上島町,弓削下弓削,2019-05-24,20,駐車（輪）場,その他
窃盗,部品ねらい,伯方,岩城駐在所,383562,愛媛県,上島町,岩城,2019-03-21,不明,駐車（輪）場,ナンバープレート
