罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,オートバイ盗,新居浜,新居浜駅前交番,382051,愛媛県,新居浜市,一宮町１丁目,2019-02-03,07,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,新居浜,新居浜駅前交番,382051,愛媛県,新居浜市,久保田町２丁目,2019-03-15,20,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,新居浜,新居浜駅前交番,382051,愛媛県,新居浜市,庄内町２丁目,2019-02-14,12,一戸建住宅,キーあり,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,新居浜,新居浜駅前交番,382051,愛媛県,新居浜市,庄内町３丁目,2019-03-09,18,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,新居浜,新居浜駅前交番,382051,愛媛県,新居浜市,庄内町６丁目,2019-03-09,17,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,新居浜,新居浜駅前交番,382051,愛媛県,新居浜市,平形町,2019-02-09,07,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,新居浜,高津交番,382051,愛媛県,新居浜市,高津町,2019-09-01,01,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,新居浜,郷駐在所,382051,愛媛県,新居浜市,郷１丁目,2019-02-01,18,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,新居浜,角野交番,382051,愛媛県,新居浜市,新須賀町３丁目,2019-03-09,07,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,新居浜,大生院駐在所,382051,愛媛県,新居浜市,萩生,2019-12-13,00,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西条,三本松交番,382060,愛媛県,西条市,新田,2019-02-04,22,駐車（輪）場,キーあり,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西条,駅前交番,382060,愛媛県,西条市,大町,2019-11-19,05,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西条,駅前交番,382060,愛媛県,西条市,神拝甲,2019-04-01,19,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,今治,駅前交番,382027,愛媛県,今治市,北宝来町１丁目,2019-04-08,07,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,今治,駅前交番,382027,愛媛県,今治市,常盤町７丁目,2019-02-01,17,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,一番町交番,382019,愛媛県,松山市,一番町２丁目,2019-09-30,08,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,松山東,一番町交番,382019,愛媛県,松山市,北持田町,2019-10-16,07,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,松山東,一番町交番,382019,愛媛県,松山市,喜与町１丁目,2019-09-19,06,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,大街道交番,382019,愛媛県,松山市,大街道１丁目,2019-11-03,23,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,大街道交番,382019,愛媛県,松山市,河原町,2019-10-31,21,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,市駅前交番,382019,愛媛県,松山市,千舟町４丁目,2019-12-21,10,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,松山駅前交番,382019,愛媛県,松山市,三番町７丁目,2017-02-15,不明,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,松山駅前交番,382019,愛媛県,松山市,三番町８丁目,2018-12-29,16,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,松山駅前交番,382019,愛媛県,松山市,宮西１丁目,2018-11-02,18,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,素鵞交番,382019,愛媛県,松山市,枝松５丁目,2019-03-13,15,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,素鵞交番,382019,愛媛県,松山市,枝松６丁目,2019-10-12,00,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
