罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,自動車盗,新居浜,大生院駐在所,382051,愛媛県,新居浜市,萩生,2019-09-07,19,道路上,キーあり,なし,乗用自動車
窃盗,自動車盗,西条,三本松交番,382060,愛媛県,西条市,喜多川,2019-03-01,07,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,西条,三本松交番,382060,愛媛県,西条市,朔日市,2019-09-07,19,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,西条,駅前交番,382060,愛媛県,西条市,大町,2019-04-03,18,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,今治,水上交番,382027,愛媛県,今治市,東門町６丁目,2019-07-29,19,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,今治,旭町交番,382027,愛媛県,今治市,北高下町３丁目,2019-09-06,00,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,今治,旭町交番,382027,愛媛県,今治市,北高下町３丁目,2019-09-10,21,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,今治,近見駐在所,382027,愛媛県,今治市,大浜町１丁目,2019-06-01,23,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,今治,近見駐在所,382027,愛媛県,今治市,大浜町１丁目,2019-07-01,22,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,今治,近見駐在所,382027,愛媛県,今治市,大浜町１丁目,2019-07-10,22,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,今治,波止浜駐在所,382027,愛媛県,今治市,波止浜,2019-07-15,22,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,今治,波止浜駐在所,382027,愛媛県,今治市,波止浜,2019-07-30,22,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,今治,波止浜駐在所,382027,愛媛県,今治市,波止浜,2019-08-01,18,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,今治,波止浜駐在所,382027,愛媛県,今治市,波止浜,2019-09-07,16,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,今治,唐子台駐在所,382027,愛媛県,今治市,国分１丁目,2019-11-23,16,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,伯方,伯方警察署所在地,382027,愛媛県,今治市,伯方町木浦,2019-03-07,16,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,松山東,大街道交番,382019,愛媛県,松山市,中村４丁目,2019-12-21,21,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,松山東,道後交番,382019,愛媛県,松山市,道後湯之町,2019-12-03,00,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,松山東,潮見駐在所,382019,愛媛県,松山市,吉藤４丁目,2019-01-23,08,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,松山東,潮見駐在所,382019,愛媛県,松山市,吉藤４丁目,2019-05-29,00,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,松山西,高浜交番,382019,愛媛県,松山市,松ノ木２丁目,2019-02-16,18,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,大洲,中央交番,382078,愛媛県,大洲市,中村,2019-05-21,22,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,大洲,中央交番,382078,愛媛県,大洲市,中村,2019-05-22,18,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,大洲,八多喜駐在所,382078,愛媛県,大洲市,柴,2019-07-11,18,駐車（輪）場,キーあり,なし,貨物自動車
