罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,被害者の年齢,被害者の職業,施錠関係
窃盗,自転車盗,四国中央,三島交番,382132,愛媛県,四国中央市,三島中央５丁目,2019-07-20,09,駐車（輪）場,10歳代,その他,施錠した
窃盗,自転車盗,四国中央,川之江交番,382132,愛媛県,四国中央市,川之江町,2019-11-08,08,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,新居浜,中央交番,382051,愛媛県,新居浜市,新須賀町２丁目,2019-12-17,13,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,新居浜,新居浜駅前交番,382051,愛媛県,新居浜市,坂井町３丁目,2019-03-04,18,その他,20歳代,その他,施錠した
窃盗,自転車盗,新居浜,新居浜駅前交番,382051,愛媛県,新居浜市,庄内町１丁目,2019-02-17,17,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,新居浜,新居浜駅前交番,382051,愛媛県,新居浜市,松木町,2019-05-03,09,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,新居浜,新居浜駅前交番,382051,愛媛県,新居浜市,八雲町,2019-12-13,18,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,新居浜,郷駐在所,382051,愛媛県,新居浜市,郷５丁目,2019-01-10,07,道路上,20歳代,その他,施錠した
窃盗,自転車盗,新居浜,角野交番,382051,愛媛県,新居浜市,大生院,2019-09-28,07,その他,10歳代,高校生,施錠した
窃盗,自転車盗,新居浜,角野交番,382051,愛媛県,新居浜市,喜光地町２丁目,2019-05-15,13,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,新居浜,船木駐在所,382051,愛媛県,新居浜市,船木,2019-06-06,03,道路上,40歳代,その他,施錠した
窃盗,自転車盗,新居浜,大生院駐在所,382051,愛媛県,新居浜市,萩生,2018-12-29,17,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,西条,三本松交番,382060,愛媛県,西条市,大町,2019-03-18,00,道路上,20歳代,その他,施錠した
窃盗,自転車盗,西条,三本松交番,382060,愛媛県,西条市,神拝乙,2019-10-20,10,一戸建住宅,10歳代,その他,施錠した
窃盗,自転車盗,西条,三本松交番,382060,愛媛県,西条市,古川甲,2019-06-02,08,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,西条,駅前交番,382060,愛媛県,西条市,大町,2019-03-20,21,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,西条,駅前交番,382060,愛媛県,西条市,大町,2019-04-02,22,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,西条,駅前交番,382060,愛媛県,西条市,大町,2019-04-26,16,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,西条,駅前交番,382060,愛媛県,西条市,大町,2019-06-11,07,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,西条,駅前交番,382060,愛媛県,西条市,大町,2019-06-14,17,駐車（輪）場,法人・団体、被害者なし,法人・団体、被害者なし,施錠した
窃盗,自転車盗,西条,駅前交番,382060,愛媛県,西条市,大町,2019-06-27,06,その他,10歳代,中学生,施錠した
窃盗,自転車盗,西条,駅前交番,382060,愛媛県,西条市,大町,2019-09-25,18,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,西条,駅前交番,382060,愛媛県,西条市,大町,2019-10-20,22,道路上,65-69歳,その他,施錠した
窃盗,自転車盗,西条西,駅前交番,382060,愛媛県,西条市,喜多台,2019-02-03,09,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,今治,水上交番,382027,愛媛県,今治市,北宝来町１丁目,2018-12-30,18,その他,40歳代,その他,施錠した
窃盗,自転車盗,今治,水上交番,382027,愛媛県,今治市,黄金町１丁目,2019-02-15,01,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,今治,水上交番,382027,愛媛県,今治市,末広町４丁目,2019-12-06,19,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,今治,水上交番,382027,愛媛県,今治市,大正町１丁目,2019-08-03,18,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,今治,水上交番,382027,愛媛県,今治市,別宮町１丁目,2019-05-22,14,その他,65-69歳,その他,施錠した
窃盗,自転車盗,今治,水上交番,382027,愛媛県,今治市,本町５丁目,2019-10-15,17,駐車（輪）場,65-69歳,その他,施錠した
窃盗,自転車盗,今治,水上交番,382027,愛媛県,今治市,松本町２丁目,2019-02-26,08,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,今治,水上交番,382027,愛媛県,今治市,南宝来町１丁目,2019-08-31,15,駐車（輪）場,40歳代,その他,施錠した
